Weight,Word,Color,URL
1156,Like,,
866,Cook,,
620,Use,,
570,People,,
489,Know,,
447,Way,,
378,LOL,,
339,Love,,
293,Never,,
253,Funny,,
226,Really,,
222,Need,,
205,Think,,
185,Better,,
183,Eat,,
171,Don't,,
167,Wrong,,
165,Bad,,
163,Please,,
161,Actually,,
