Weight,Word,Color,URL
643,Pizza,,
299,Pineapple,,
134,Like,,
126,Italian,,
108,People,,
87,Love,,
68,Hawaiian,,
54,Put,,
53,Eat,,
47,Fake,,
44,Hate,,
41,LOL,,
41,Food,,
40,Hnad,,
38,Fucking,,
35,Shit,,
35,Really,,
33,Wrong,,
39,Don't,,
