Weight,Word,Color,URL
162,Tea,,
60,British,,
49,Water,,
38,Milk,,
27,Like,,
24,Sugar,,
21,Even,,
20,Kettle,,
18,Way,,
18,Microwave,,
17,Offended,,
15,Never,,
15,Hot,,
12,Wrong,,
12,Really,,
